id,aspect_class,sentiment_class,comment_text
396,,,benar benar jahat kamu mulyono mommy gran datang ke motionimefest jakarta guys join discordku motionime join discord gta rp ku imeroleplay instagram imeroleplay tiktok imeroleplay follow instagram ku festival motionimefest toko top up game ku windah topup
397,,,yang ini bukan di kalimantan bang tapi di so
398,,,hantu nya kenapa sih
399,,,serem bngt co
400,,,serem juga bang game nya
401,,,loh ya nyindir bgt wok
402,,,sisa sisa dari bahlil
403,,,im scared
404,,,hadir bg
405,,,mulyono nya johan bjir
406,,,sedih bang
407,,,ada permen karet
408,,,jangan bersama dengan orang yang belum selesai dengan masa lalunya
409,,,bang maen bakso malang bang windah
410,,,hadir bang
411,,,woi kaget bangettt
412,,,nyesel gua nonton di jam930 lepas tu mau mimpi mimpi nya ini sama lagi
413,,,sri jokowi jahad bet bngke
414,,,the reall a little piece of heaven
415,,,yang bikin tambah lucu komen para viewer wkwkwkw
416,,,nonton ini energi gw kesedot badan gemeteran krna pernah liat mama juga pernah dipukulin sma bapak
417,,,bg bukan nya lu kristen ya kok ngomong astagfirullah yaallah
418,,,l mulyono
419,,,yg nyuruh nyari ijazah mulyono kurang ajar banget
420,,,bosenin banget bolak balik
421,,,info nama game
422,,,i feel you bowo
423,,,dahlia kaya oppa habis sholat jumpscare upin
424,,,dahlia lomte
425,,,gg fernida developer gamenya bagus euy jangan lupa subs channel developernya yuk join discord paling rame seindonesia buat cari temen top up semua game di windahtopupstore festival motionimefest toko top up game ku windah topup follow instagram ku
426,,,bang apa nama game nya
427,,,kota aku anjay
428,,,pistol p
429,,,keren excited bgt game buatan ank indo
430,,,aku main tapi masih di rumah sakitt aku takuttt
431,,,buktinya aku motor nya di masukin ke dalam rumah
432,,,pocongnya caper
433,,,adalah loh nama bg windah paling atas liat deh
434,,,pekel lomser
435,,,santi bisa flash step cok kek tojii
436,,,pernah main ini nyerah pas di bab dua takutt
437,,,ternyata santi orang kaya rumah nya banyak kamar tapi ternyata santi punya anak itu di buktiin pas bg windah masuk keluar kamar ada nama nya kamar aliyah dan kamar jeni gokill si game inii
438,,,bang sumpah gw baru nonton yang ini kebetulan gw bocil replay gw nyoba main game ini kringet dingin bang mau muntah knp ya
439,,,mie kuah sama es teler
440,,,harriss lop you buat hariss
441,,,anjir jam
442,,,kenapa di indo ga manusianya ga setannya ga suka bgt dengan orang yang berbeda pendapat dengan mereka selau pikir kalo orang lain ga percaya apa yang mereka percaya orang tersebut pasti buruk
443,,,seru banget bang windah aku suka nonton nya tapi serem
444,,,granny versi lebih seram
445,,,kira kira gimana naik motornya
446,,,bang windah petatang peteteng bangett
447,,,itu laba laba minecraft bng
448,,,bang aku marah sama kamu
449,,,yg pertama tadi itu kayaknya mayit
450,,,semangat ngonten bang winda
451,,,kopi nya bukan nama nya bukan api tapi kapal api
452,,,bang ruang ob
453,,,kayak game hantu seblak
454,,,uni pipin
455,,,miwaugakurpini akusubasa
456,,,kk reggie aq fans bnget suka bnget nonton ytb kk apalgi anak2 aq cm penasaran aq di app store sm playstore gk jumpa game yg kk main
457,,,di mobil kecelakaan ada rak gratis
458,,,miau augakubarunonton
460,,,apa abang masih ada apa bang abang dari youtube ini aku sangat sedih banget konten apa
461,,,apakah abang masih ada
462,,,itu gaji buta
463,,,jshsid die djsh1is8zudiw9sjndpqud
464,,,main nggak pernah main game minecraft
465,,,produk robot
466,,,kenapa indomaret
467,,,alasan
468,,,yu resti
469,,,691tobox miawavng
470,,,dimana bang
471,,,miawaug apa nama gamenya
472,,,hai miawaug apa kabar
473,,,developer di indonesia makin berkembang
474,,,nonton mulai kls 5sd sampe sekarang umur20
475,,,bacaannya indomalet
476,,,ydhsoenf
477,,,kak reki itu nama ayah aku yg nama nya bapak cecep
478,,,yang nyobsin anak tahun
479,,,ya nama nya juga anak jaman sekarang tahun ya bisa lah bikin game
480,,,bang aku juga denger kastemer
481,,,minecraft dong yang sama sini ngumpul gak maksa kok
482,,,yang paling aku suka roblox tapi aku kan masih kecil baru tahun
483,,,aing suka main roblox
484,,,jangan percaya roblox tuh di buat sama mamarika
485,,,game terkenal yaitu bussid
487,,,ff nibos
488,,,tim ff
489,,,aku tu manamaya tahu bulat
490,,,mading juga di dalam game roblox nama gamenya sambung kata
491,,,lakopala
492,,,bang bukanya ff di singapura
493,,,trouble maker dreatout pamali
494,,,game ojol
495,,,aku suka game roblox
496,,,game naon
497,,,dredout battle of surabaya pamali dan escape for naraka kalo gak salah
498,,,aku suka main berandalan sekolah
499,,,bang ini game buatan negara orang itu namanya kereta api indonesia tapi bingung namanya apa tapi coba aja bang cari kereta api indonesia pasti ada gamenya
500,,,bukannya ff itu dari singapura ya
501,,,super ber bang
502,,,hantu seblak tahu bulat simulator bus simulator indocraft
503,,,bus simulator
504,,,singapura tu woi bukan vietnam
505,,,roblox minecraft
506,,,aku si pertenak lele
507,,,game indo the least dragons
508,,,bussid bang indo
509,,,part cart
510,,,nama gamenya bussit simulator
511,,,aku mah simpel kepala brokoli aku suka kamu
512,,,geometry dash
513,,,kamu coba ketik minecraft nanti ada animasi nya
514,,,jadi bg klo di game figth of gods kita adu tuhan gitu yg kalah agamanya bakal dipandang rendah gitu bg makanya dilarang
515,,,roblox lah
516,,,no temen gw pernah main terus sekarang udh di ganti ml soalny aku tegur setiap hari gara2 game ny itu kaya bullying asli aku takut temen gw nanti ngebully org jadinya aku tegur sama bilang hapus aja game itu ganti ml terus temen gw nurut dan gw pun hidup tenang lagi
517,,,loh aku donload bully di hp atau ps ku kok ada
518,,,game bullying masih ada tapi udah gak ada
519,,,bhbnnu
520,,,minicraft bang
521,,,lah bang gw suka main buli bahkan sering
522,,,saya suka game uni
523,,,gua ff
524,,,roblox kumpul sini
525,,,bang aku main gorebox apakah haram
526,,,bener mortal kombat karena game sadis semua dan penuh penyiksaan
527,,,aku mau roblox dan god of war bang
528,,,aku suka game bus simulator indonesia bang
529,,,ffm a x
530,,,ok bang aku minecraft
531,,,my favorite game is devil may cry
532,,,game bully game yang menemani masa kecil dan nostalgia
533,,,mortal kombat sama bully masih ada bang
534,,,namaku arya dan umurku tahun oh ya permainan aku itu ada roblox ff ml
535,,,ml bang
536,,,game pkxd bang
537,,,aku roblox
538,,,roblox bg yang main roblox push likenya di bawa ngak maksa
539,,,wfjsgusfsggzgdjshsnhfgwggsbhshhihshshsuhshuhshshehusu11hwshhzhhabdkbajvdbdjvdjxvxjzbbsjzbzbznsjjwiijjjajhjhjhjjhoiohjhbiuhjuhjy2uwyw7yw
540,,,jnv mn bbnhhhiii
541,,,qaseh rania
542,,,uukgbgfhmegeh d ya gan
543,,,ade ade
